# Force and moment coefficients
# dragDir               : (1.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
# sideDir               : (0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00)
# liftDir               : (0.0000000000000000e+00 1.0000000000000000e+00 0.0000000000000000e+00)
# rollAxis              : (1.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
# pitchAxis             : (0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00)
# yawAxis               : (0.0000000000000000e+00 1.0000000000000000e+00 0.0000000000000000e+00)
# magUInf               : 2.3659999999999999e+02
# lRef                  : 1.0330000000000000e-01
# Aref                  : 6.7799999999999996e-03
# CofR                  : (3.5000000000000003e-02 0.0000000000000000e+00 0.0000000000000000e+00)
#
# Time                  	Cd                      	Cd(f)                   	Cd(r)                   	Cl                      	Cl(f)                   	Cl(r)                   	CmPitch                 	CmRoll                  	CmYaw                   	Cs                      	Cs(f)                   	Cs(r)                   
11                      	7.2415702961078937e-02	3.8770777512635766e-02	3.3644925448443178e-02	-9.1632017810591455e-04	-7.0643225806275975e-04	-2.0988792004315477e-04	-2.4827216900980253e-04	2.5629260320962932e-03	5.7360962089746679e-04	1.7204302616575301e-01	8.6595122703773966e-02	8.5447903461979044e-02
12                      	7.2617344493428923e-02	3.8561186697887745e-02	3.4056157795541178e-02	-2.4495539916529523e-05	1.9292039859982195e-06	-2.6424743902527756e-05	1.4176973944262988e-05	2.2525144511732825e-03	-3.7578778485203735e-04	1.7460994992459411e-01	8.6929187177445008e-02	8.7680762747149088e-02
13                      	5.4354857286481609e-02	2.9271119847977749e-02	2.5083737438503857e-02	6.6054036538686436e-04	4.1245803637720983e-04	2.4808232900965454e-04	8.2187853683777644e-05	2.0936912047369487e-03	-5.7723432128970152e-03	1.7770934846392905e-01	8.3082331019067507e-02	9.4627017444861530e-02
14                      	3.0074548773589165e-02	1.7205884012413474e-02	1.2868664761175687e-02	7.7969047964650403e-04	3.3474987184380360e-04	4.4494060780270032e-04	-5.5095367979448386e-05	2.1686096256188945e-03	-1.2309143668714204e-02	1.8022754677980521e-01	7.7804629721188401e-02	1.0242291705861681e-01
15                      	1.0390306712947130e-02	7.6259559869847476e-03	2.7643507259623827e-03	3.0569313661965445e-04	-1.4448056730228753e-04	4.5017370392194195e-04	-2.9732713561211475e-04	2.4308026305111829e-03	-1.7355969141791806e-02	1.8160069971457640e-01	7.3444380715496388e-02	1.0815631899908001e-01
16                      	1.8644005734573948e-03	3.6890174869571983e-03	-1.8246169134998030e-03	-4.9775200202774816e-04	-7.3456456419629726e-04	2.3681256216854913e-04	-4.8568856318242318e-04	2.7568172002285008e-03	-1.9232167243404052e-02	1.8144212812657468e-01	7.1488896819883282e-02	1.0995323130669139e-01
17                      	4.7965233793488210e-03	5.3741472655647604e-03	-5.7762388621594024e-04	-1.1690482024721536e-03	-1.1022229270567171e-03	-6.6825275415436508e-05	-5.1769882582064031e-04	2.9758855758903508e-03	-1.8004320546237417e-02	1.8004573455698067e-01	7.2018546732252900e-02	1.0802718782472776e-01
18                      	1.4544810017664779e-02	1.0283173769388356e-02	4.2616362482764221e-03	-1.4364796732433530e-03	-1.0960523371158044e-03	-3.4042733612754867e-04	-3.7781250049412785e-04	3.0107687605559672e-03	-1.5042230013760600e-02	1.7813343685077163e-01	7.4024488411625219e-02	1.0410894843914641e-01
19                      	2.5557719265811053e-02	1.5641786834028823e-02	9.9159324317822338e-03	-1.2054570470280473e-03	-7.4462405844995608e-04	-4.6083298857809129e-04	-1.4189553493593234e-04	2.8629272011232946e-03	-1.1896039149549882e-02	1.7641963499046606e-01	7.6313778345683148e-02	1.0010585664478291e-01
20                      	3.3074178558246639e-02	1.9170679429521633e-02	1.3903499128725006e-02	-6.8575099495100564e-04	-2.7311416905116377e-04	-4.1263682589984198e-04	6.9761328424339101e-05	2.6335901503983122e-03	-9.8605237300072642e-03	1.7547322773721191e-01	7.7876090138598697e-02	9.7597137598613229e-02
21                      	3.4890641908362656e-02	1.9885458200882694e-02	1.5005183707479962e-02	-1.5835698904928118e-04	8.5919468437912539e-05	-2.4427645748719372e-04	1.6509796296255313e-04	2.4401372467013653e-03	-9.5192914279241085e-03	1.7555757341914843e-01	7.8259495281650104e-02	9.7298078137498314e-02
22                      	3.1748961560627356e-02	1.8211954405827881e-02	1.3537007154799474e-02	2.0906017939896276e-04	2.3429151443822200e-04	-2.5231335039259211e-05	1.2976142473874059e-04	2.3374736255142030e-03	-1.0585815113754428e-02	1.7641231505813260e-01	7.7620342415311863e-02	9.8791972642820733e-02
23                      	2.6418309158255757e-02	1.5592477190094069e-02	1.0825831968161687e-02	1.9848787531870246e-04	6.5200693055700272e-05	1.3328718226300222e-04	-3.4043244603650972e-05	2.3833226109661919e-03	-1.2217009290186862e-02	1.7751157110251373e-01	7.6538776261070002e-02	1.0097279484144371e-01
24                      	2.1563414521408995e-02	1.3307465460386704e-02	8.2559490610222934e-03	-9.8844148569461181e-05	-2.8973152343685603e-04	1.9088737486739482e-04	-2.4030944915212540e-04	2.5257581996822056e-03	-1.3639912225839395e-02	1.7839084901757124e-01	7.5555512282946227e-02	1.0283533673462501e-01
25                      	1.9018074679201597e-02	1.2199153400766995e-02	6.8189212784346021e-03	-5.1626331799591756e-04	-6.5409067343499350e-04	1.3782735543907599e-04	-3.9595901443703477e-04	2.6901160611661969e-03	-1.4347766711167208e-02	1.7880301354850855e-01	7.5053740063087071e-02	1.0374927348542148e-01
26                      	1.9170163185733245e-02	1.2383781798980266e-02	6.7863813867529797e-03	-8.3830055731208965e-04	-8.6302537299260350e-04	2.4724815680513804e-05	-4.4387509433655868e-04	2.7987002061136425e-03	-1.4251225176752577e-02	1.7870591042649062e-01	7.5101730036492717e-02	1.0360418038999789e-01
27                      	2.1279636575457214e-02	1.3454689215578790e-02	7.8249473598784244e-03	-9.5700845279173572e-04	-8.6729726233274553e-04	-8.9711190458990236e-05	-3.8879303593687762e-04	2.8148709278501827e-03	-1.3593562823652103e-02	1.7827275237151954e-01	7.5542813362107664e-02	1.0272993900941188e-01
28                      	2.3891787996742034e-02	1.4699713544930066e-02	9.1920744518119678e-03	-8.8566563200778551e-04	-6.9793495389123042e-04	-1.8773067811655509e-04	-2.5510213788733767e-04	2.7538195465590483e-03	-1.2808996540621783e-02	1.7775675046239989e-01	7.6069378690578171e-02	1.0168737177182172e-01
29                      	2.5846880926664213e-02	1.5579686585879890e-02	1.0267194340784323e-02	-6.8548345364304074e-04	-4.4140232605627944e-04	-2.4408112758676127e-04	-9.8660599234759070e-05	2.6562461225477841e-03	-1.2235891379454897e-02	1.7737241139768983e-01	7.6450314319390006e-02	1.0092209707829981e-01
30                      	2.6430911716751181e-02	1.5787480738937314e-02	1.0643430977813867e-02	-4.7185231209908983e-04	-2.1329922633757999e-04	-2.5855308576150983e-04	2.2626929711964922e-05	2.5720248805617225e-03	-1.2077400767068671e-02	1.7723515286410074e-01	7.6540175664981697e-02	1.0069497719911905e-01
