# Force and moment coefficients
# dragDir               : (1.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
# sideDir               : (0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00)
# liftDir               : (0.0000000000000000e+00 1.0000000000000000e+00 0.0000000000000000e+00)
# rollAxis              : (1.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
# pitchAxis             : (0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00)
# yawAxis               : (0.0000000000000000e+00 1.0000000000000000e+00 0.0000000000000000e+00)
# magUInf               : 2.3659999999999999e+02
# lRef                  : 1.0330000000000000e-01
# Aref                  : 6.7799999999999996e-03
# CofR                  : (3.5000000000000003e-02 0.0000000000000000e+00 0.0000000000000000e+00)
#
# Time                  	Cd                      	Cd(f)                   	Cd(r)                   	Cl                      	Cl(f)                   	Cl(r)                   	CmPitch                 	CmRoll                  	CmYaw                   	Cs                      	Cs(f)                   	Cs(r)                   
11                      	5.9935229766380806e-02	3.3256768936832014e-02	2.6678460829548788e-02	-1.0079984415161398e-03	-1.2166956957905934e-03	2.0869725427445358e-04	-7.1269647503252348e-04	3.2891540536416149e-03	-4.8713083990758604e-03	2.0888334597430655e-01	9.9570364588077415e-02	1.0931298138622914e-01
12                      	8.5608805866252496e-02	4.6105824419368932e-02	3.9502981446883564e-02	-9.2475667583215380e-04	-1.4352230182512608e-03	5.1046634241910696e-04	-9.7284468033518386e-04	3.3014214862426851e-03	-2.9075806383003174e-03	2.1403085740319286e-01	1.0410784806329612e-01	1.0992300933989675e-01
13                      	8.5270377862168401e-02	4.5838534085955722e-02	3.9431843776212672e-02	-8.4148219887887968e-04	-1.2353143072280500e-03	3.9383210834917029e-04	-8.1457320778861018e-04	3.2033451548715217e-03	-2.4825372807153918e-03	2.1130098936298597e-01	1.0316795740077760e-01	1.0813303196220837e-01
14                      	6.6011431497221967e-02	3.6078111443324595e-02	2.9933320053897372e-02	-8.4163550013202258e-04	-7.9797121277087315e-04	-4.3664287361149410e-05	-3.7715346270486192e-04	3.0723956947136125e-03	-3.3355990318022122e-03	2.0368249842186159e-01	9.8505650179128587e-02	1.0517684824273300e-01
15                      	3.9457904219485543e-02	2.2704070634794106e-02	1.6753833584691437e-02	-9.4458518928579695e-04	-3.5161616344138051e-04	-5.9296902584441639e-04	1.2067643120151800e-04	2.9751185250513350e-03	-4.8542828889286994e-03	1.9519641308675365e-01	9.2743923654448127e-02	1.0245248943230552e-01
16                      	1.6615359724831066e-02	1.1266986828890227e-02	5.3483728959408394e-03	-1.1583153417186621e-03	-8.8218768286102422e-05	-1.0700965734325597e-03	4.9093890257322862e-04	2.9593069664746933e-03	-6.3658052043772135e-03	1.8909910406196168e-01	8.8183746826603626e-02	1.0091535723535805e-01
17                      	4.3760235876367784e-03	5.2149624457068907e-03	-8.3893885807011259e-04	-1.4197309688468108e-03	-8.3920063784044964e-05	-1.3358109050627658e-03	6.2594542063936040e-04	3.0269506518885020e-03	-7.3603073826770298e-03	1.8698677624871485e-01	8.6133080741680385e-02	1.0085369550703446e-01
18                      	4.1502972299927512e-03	5.2124804096458435e-03	-1.0621831796530927e-03	-1.6296205654164220e-03	-2.6956663743289873e-04	-1.3600539279835233e-03	5.4524364527531229e-04	3.1373317946494683e-03	-7.6270578462435089e-03	1.8859987880879114e-01	8.6672881558152073e-02	1.0192699725063907e-01
19                      	1.2869071232044005e-02	9.6703021819600950e-03	3.1987690500839099e-03	-1.7173230585443694e-03	-5.3100822731097486e-04	-1.1863148312333946e-03	3.2765330196120985e-04	3.2357665659380926e-03	-7.2740090073497004e-03	1.9247879803964477e-01	8.8965390012472681e-02	1.0351340802717209e-01
20                      	2.5130969515212528e-02	1.5859210405708826e-02	9.2717591095037005e-03	-1.6837712729334863e-03	-7.4748636884822963e-04	-9.3628490408525665e-04	9.4399267618513506e-05	3.2937256481025638e-03	-6.5900809182052105e-03	1.9671493101223589e-01	9.1767384587912740e-02	1.0494754642432316e-01
